Milestone,A week or less,A month or less,1-3 mos,4-6 mos,7-9 mos,10-12 mos,1-2 yrs,2-3 yrs,3-4 yrs,4-5 yrs,5-6 yrs,6+ yrs,Marriage,Unsure
Sex,0.10,0.19,0.19,0.90,0.20,0.30,0.30,0.01,0.01,0.00,0.00,0.02,0.12,0.19
ILY,0.05,0.08,0.19,0.18,0.06,0.07,0.06,0.02,0.01,0.01,0.01,0.02,0.02,0.21
Meeting Family,0.03,0.06,0.22,0.22,0.08,0.07,0.07,0.01,0.01,0.01,0.01,0.01,0.03,0.18
Vacation,0.03,0.04,0.14,0.21,0.09,0.08,0.07,0.02,0.01,0.01,0.02,0.02,0.06,0.19
Moving in,0.02,0.02,0.05,0.08,0.08,0.13,0.17,0.06,0.02,0.02,0.02,0.03,0.14,0.19
Buying home,0.02,0.02,0.02,0.02,0.02,0.05,0.12,0.12,0.08,0.04,0.04,0.03,0.22,0.20
Engaged,0.02,0.02,0.03,0.04,0.04,0.11,0.24,0.14,0.06,0.03,0.03,0.02,0.03,0.21
Married,0.02,0.02,0.01,0.03,0.03,0.06,0.20,0.17,0.09,0.05,0.04,0.03,0.03,0.22
Pregnant,0.02,0.02,0.02,0.01,0.02,0.03,0.11,0.11,0.08,0.06,0.04,0.03,0.20,0.27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
